group,Refused,Major,Minor,Not
I’m not interested in what is happening in government. ,4,104,161,298
I just don’t think about doing it. ,4,97,131,335
Voting has little to do with the way real decisions are made. ,5,201,134,227
I just don’t think about doing it. ,4,97,131,335
I don’t see a difference between the candidates or parties.,5,137,130,294
I don’t like any of the candidates on the ballot. ,5,177,120,265
I’m not informed enough about the candidates or issues to make a good decision. ,5,94,132,337
I dislike politics. ,4,227,143,193
My one vote isn’t going to affect how things turn out. ,5,167,149,246
I have been unable to vote due to a disability or language barrier. ,7,19,36,505
I am too busy to vote.,5,33,95,434
My religion discourages voting. ,5,78,23,461
